model,pool,targets,mean_hits,expected,lift,cov3,cov3_exp,cov4,cov4_exp,cov5,cov5_exp,cov6,cov6_exp,dev_mean,conf_mean,p_full,p_dev,p_conf,p_full_holm
freq_w20,6,129,0.9922480620155039,0.9473684210526315,1.0473729543496986,0.031007751937984496,0.03869806036988699,0.007751937984496124,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.9375,1.0461538461538462,0.2854795582187839,0.5628438024638109,0.18752232330271518,1.0
freq_w20,8,129,1.4186046511627908,1.263157894736842,1.1230620155038762,0.14728682170542637,0.09400506614128905,0.015503875968992248,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.453125,1.3846153846153846,0.03297133083945054,0.05975543513691913,0.16154065448159732,1.0
freq_w20,10,129,1.6434108527131783,1.5789473684210527,1.040826873385013,0.24806201550387597,0.17378538121572176,0.023255813953488372,0.03138573417211187,0.007751937984496124,0.002631959288306037,0.0,7.606818752329587e-05,1.65625,1.6307692307692307,0.24550833827299398,0.2880306239838425,0.3591083342736252,1.0
freq_w20,12,129,1.9224806201550388,1.894736842105263,1.0146425495262705,0.3178294573643411,0.27326264787565097,0.046511627906976744,0.06606739424076885,0.015503875968992248,0.007793729155958257,0.0,0.00033470002510250184,1.890625,1.9538461538461538,0.39764028567488746,0.5338258445268312,0.3460910277314377,1.0
freq_w20,15,129,2.248062015503876,2.3684210526315788,0.9491817398794143,0.4418604651162791,0.4438122332859174,0.13178294573643412,0.15192591972777728,0.015503875968992248,0.02683178534571723,0.0,0.001812958469305218,2.1875,2.3076923076923075,0.897718663382418,0.9129069129556132,0.6891026631838129,1.0
freq_w20,20,129,3.124031007751938,3.1578947368421053,0.9892764857881138,0.7131782945736435,0.7206037206037206,0.3798449612403101,0.38364338364338363,0.12403100775193798,0.11512811512811516,0.007751937984496124,0.01404001404001404,3.0625,3.1846153846153844,0.647019118515056,0.7661772311299995,0.4466215221019523,1.0
freq_w40,6,129,1.0077519379844961,0.9473684210526315,1.0637381567614126,0.03875968992248062,0.03869806036988699,0.0,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.984375,1.0307692307692307,0.21880743700278643,0.3849340626347026,0.22947737962525247,1.0
freq_w40,8,129,1.3565891472868217,1.263157894736842,1.073966408268734,0.11627906976744186,0.09400506614128905,0.007751937984496124,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.390625,1.323076923076923,0.1369456004220511,0.15138948783266087,0.3224781227920469,1.0
freq_w40,10,129,1.7131782945736433,1.5789473684210527,1.0850129198966407,0.2248062015503876,0.17378538121572176,0.023255813953488372,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.734375,1.6923076923076923,0.07071015639857298,0.12000477874361598,0.19727556945127603,1.0
freq_w40,12,129,2.0,1.894736842105263,1.0555555555555556,0.32558139534883723,0.27326264787565097,0.046511627906976744,0.06606739424076885,0.0,0.007793729155958257,0.0,0.00033470002510250184,1.9375,2.0615384615384613,0.13852243357018967,0.3939914435180979,0.11324973606525951,1.0
